cell_id,lat_center,lon_center,area_km2,dem_elevation_m,dem_slope_deg,dem_source,slope_class
32.5000_-123.5000,32.5,-123.5,12321.0,,,,unknown
32.5000_-122.5000,32.5,-122.5,12321.0,,,,unknown
32.5000_-121.5000,32.5,-121.5,12321.0,,,,unknown
32.5000_-120.5000,32.5,-120.5,12321.0,,,,unknown
32.5000_-119.5000,32.5,-119.5,12321.0,,,,unknown
32.5000_-118.5000,32.5,-118.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
32.5000_-117.5000,32.5,-117.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
32.5000_-116.5000,32.5,-116.5,12321.0,831.2855224609375,15.380234049165507,Copernicus DEM GLO-30,moderate
32.5000_-115.5000,32.5,-115.5,12321.0,45.097049713134766,1.218025018177673,Copernicus DEM GLO-30,flat
32.5000_-114.5000,32.5,-114.5,12321.0,85.69566345214844,0.3119618212008594,Copernicus DEM GLO-30,flat
32.5000_-113.5000,32.5,-113.5,12321.0,193.14447021484375,0.8456128148385181,Copernicus DEM GLO-30,flat
32.5000_-112.5000,32.5,-112.5,12321.0,742.389892578125,1.3571534763120283,Copernicus DEM GLO-30,flat
32.5000_-111.5000,32.5,-111.5,12321.0,625.6005249023438,0.9414962437730344,Copernicus DEM GLO-30,flat
32.5000_-110.5000,32.5,-110.5,12321.0,879.1216430664062,6.019822073950767,Copernicus DEM GLO-30,gentle
32.5000_-109.5000,32.5,-109.5,12321.0,1063.6513671875,1.299626077171817,Copernicus DEM GLO-30,flat
32.5000_-108.5000,32.5,-108.5,12321.0,1917.94384765625,5.14936104722154,Copernicus DEM GLO-30,gentle
32.5000_-107.5000,32.5,-107.5,12321.0,1394.497314453125,0.7587977471450875,Copernicus DEM GLO-30,flat
32.5000_-106.5000,32.5,-106.5,12321.0,1954.7469482421875,24.77201356416983,Copernicus DEM GLO-30,moderate
32.5000_-105.5000,32.5,-105.5,12321.0,1864.51025390625,6.228033657962957,Copernicus DEM GLO-30,gentle
32.5000_-104.5000,32.5,-104.5,12321.0,1195.99072265625,15.853433497290334,Copernicus DEM GLO-30,moderate
33.5000_-123.5000,33.5,-123.5,12321.0,,,,unknown
33.5000_-122.5000,33.5,-122.5,12321.0,,,,unknown
33.5000_-121.5000,33.5,-121.5,12321.0,,,,unknown
33.5000_-120.5000,33.5,-120.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
33.5000_-119.5000,33.5,-119.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
33.5000_-118.5000,33.5,-118.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
33.5000_-117.5000,33.5,-117.5,12321.0,359.9854431152344,17.483926450451047,Copernicus DEM GLO-30,moderate
33.5000_-116.5000,33.5,-116.5,12321.0,1386.5093994140625,16.071653728250286,Copernicus DEM GLO-30,moderate
33.5000_-115.5000,33.5,-115.5,12321.0,685.235595703125,6.372704473102167,Copernicus DEM GLO-30,gentle
33.5000_-114.5000,33.5,-114.5,12321.0,157.5744171142578,1.8594893689004632,Copernicus DEM GLO-30,flat
33.5000_-113.5000,33.5,-113.5,12321.0,490.7930603027344,12.131777946242266,Copernicus DEM GLO-30,gentle
33.5000_-112.5000,33.5,-112.5,12321.0,377.99603271484375,5.435609216434564,Copernicus DEM GLO-30,gentle
33.5000_-111.5000,33.5,-111.5,12321.0,648.6864624023438,14.788746169378188,Copernicus DEM GLO-30,gentle
33.5000_-110.5000,33.5,-110.5,12321.0,1095.2100830078125,14.726937536166531,Copernicus DEM GLO-30,gentle
33.5000_-109.5000,33.5,-109.5,12321.0,1890.0140380859375,6.839193764861538,Copernicus DEM GLO-30,gentle
33.5000_-108.5000,33.5,-108.5,12321.0,2430.848876953125,4.679215168176225,Copernicus DEM GLO-30,flat
33.5000_-107.5000,33.5,-107.5,12321.0,1894.5850830078125,9.873317646516798,Copernicus DEM GLO-30,gentle
33.5000_-106.5000,33.5,-106.5,12321.0,1629.607666015625,3.0506632769563704,Copernicus DEM GLO-30,flat
33.5000_-105.5000,33.5,-105.5,12321.0,1909.5206298828125,6.702635376695246,Copernicus DEM GLO-30,gentle
33.5000_-104.5000,33.5,-104.5,12321.0,1089.096435546875,0.6035873647936219,Copernicus DEM GLO-30,flat
34.5000_-123.5000,34.5,-123.5,12321.0,,,,unknown
34.5000_-122.5000,34.5,-122.5,12321.0,,,,unknown
34.5000_-121.5000,34.5,-121.5,12321.0,,,,unknown
34.5000_-120.5000,34.5,-120.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
34.5000_-119.5000,34.5,-119.5,12321.0,699.11279296875,7.908590222614065,Copernicus DEM GLO-30,gentle
34.5000_-118.5000,34.5,-118.5,12321.0,567.889892578125,26.07422974751509,Copernicus DEM GLO-30,moderate
34.5000_-117.5000,34.5,-117.5,12321.0,1009.3212890625,1.2562107288157371,Copernicus DEM GLO-30,flat
34.5000_-116.5000,34.5,-116.5,12321.0,872.6921997070312,2.550096120401785,Copernicus DEM GLO-30,flat
34.5000_-115.5000,34.5,-115.5,12321.0,242.627197265625,1.1346402216236822,Copernicus DEM GLO-30,flat
34.5000_-114.5000,34.5,-114.5,12321.0,348.8425598144531,5.8321107703868735,Copernicus DEM GLO-30,gentle
34.5000_-113.5000,34.5,-113.5,12321.0,1183.12060546875,28.800844016013805,Copernicus DEM GLO-30,moderate
34.5000_-112.5000,34.5,-112.5,12321.0,1873.5572509765625,24.340562692275952,Copernicus DEM GLO-30,moderate
34.5000_-111.5000,34.5,-111.5,12321.0,1935.8155517578125,9.921554988606774,Copernicus DEM GLO-30,gentle
34.5000_-110.5000,34.5,-110.5,12321.0,1919.049072265625,1.2040157001779324,Copernicus DEM GLO-30,flat
34.5000_-109.5000,34.5,-109.5,12321.0,1889.240478515625,4.40266364573437,Copernicus DEM GLO-30,flat
34.5000_-108.5000,34.5,-108.5,12321.0,2096.103515625,1.4323845627943417,Copernicus DEM GLO-30,flat
34.5000_-107.5000,34.5,-107.5,12321.0,1900.33935546875,19.356448858258698,Copernicus DEM GLO-30,moderate
34.5000_-106.5000,34.5,-106.5,12321.0,1783.6502685546875,3.3550770954461426,Copernicus DEM GLO-30,flat
34.5000_-105.5000,34.5,-105.5,12321.0,1898.168701171875,3.2482760986020125,Copernicus DEM GLO-30,flat
34.5000_-104.5000,34.5,-104.5,12321.0,1384.517333984375,0.6609188042009221,Copernicus DEM GLO-30,flat
35.5000_-123.5000,35.5,-123.5,12321.0,,,,unknown
35.5000_-122.5000,35.5,-122.5,12321.0,,,,unknown
35.5000_-121.5000,35.5,-121.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
35.5000_-120.5000,35.5,-120.5,12321.0,376.2283935546875,8.648573004074409,Copernicus DEM GLO-30,gentle
35.5000_-119.5000,35.5,-119.5,12321.0,86.63728332519531,0.23047873760371845,Copernicus DEM GLO-30,flat
35.5000_-118.5000,35.5,-118.5,12321.0,1172.85009765625,10.341962005208499,Copernicus DEM GLO-30,gentle
35.5000_-117.5000,35.5,-117.5,12321.0,718.8314819335938,1.557857453761266,Copernicus DEM GLO-30,flat
35.5000_-116.5000,35.5,-116.5,12321.0,1052.32373046875,4.620730367124129,Copernicus DEM GLO-30,flat
35.5000_-115.5000,35.5,-115.5,12321.0,1207.8388671875,10.321735199142493,Copernicus DEM GLO-30,gentle
35.5000_-114.5000,35.5,-114.5,12321.0,1128.3480224609375,3.894182918647323,Copernicus DEM GLO-30,flat
35.5000_-113.5000,35.5,-113.5,12321.0,1395.5472412109375,2.905245556915105,Copernicus DEM GLO-30,flat
35.5000_-112.5000,35.5,-112.5,12321.0,1728.396728515625,1.0988712585213987,Copernicus DEM GLO-30,flat
35.5000_-111.5000,35.5,-111.5,12321.0,1761.4288330078125,0.4803348042579617,Copernicus DEM GLO-30,flat
35.5000_-110.5000,35.5,-110.5,12321.0,1656.915283203125,2.4644298619544607,Copernicus DEM GLO-30,flat
35.5000_-109.5000,35.5,-109.5,12321.0,1991.564697265625,2.6484717351036444,Copernicus DEM GLO-30,flat
35.5000_-108.5000,35.5,-108.5,12321.0,2070.9794921875,0.3009420905452434,Copernicus DEM GLO-30,flat
35.5000_-107.5000,35.5,-107.5,12321.0,2035.3770751953125,2.337050808415305,Copernicus DEM GLO-30,flat
35.5000_-106.5000,35.5,-106.5,12321.0,1869.9136962890625,3.8161600606833117,Copernicus DEM GLO-30,flat
35.5000_-105.5000,35.5,-105.5,12321.0,2255.76220703125,14.778652192034297,Copernicus DEM GLO-30,gentle
35.5000_-104.5000,35.5,-104.5,12321.0,1498.67236328125,2.99871588918458,Copernicus DEM GLO-30,flat
36.5000_-123.5000,36.5,-123.5,12321.0,,,,unknown
36.5000_-122.5000,36.5,-122.5,12321.0,0.0,0.0,Copernicus DEM GLO-30,flat
36.5000_-121.5000,36.5,-121.5,12321.0,30.871070861816406,0.7621266320557334,Copernicus DEM GLO-30,flat
36.5000_-120.5000,36.5,-120.5,12321.0,334.0547180175781,11.061862559584858,Copernicus DEM GLO-30,gentle
36.5000_-119.5000,36.5,-119.5,12321.0,92.82806396484375,0.4448689047123926,Copernicus DEM GLO-30,flat
36.5000_-118.5000,36.5,-118.5,12321.0,2803.0771484375,27.50718427153396,Copernicus DEM GLO-30,moderate
36.5000_-117.5000,36.5,-117.5,12321.0,1367.736572265625,15.8369689318629,Copernicus DEM GLO-30,moderate
36.5000_-116.5000,36.5,-116.5,12321.0,699.214111328125,0.2993862318221544,Copernicus DEM GLO-30,flat
36.5000_-115.5000,36.5,-115.5,12321.0,975.3312377929688,2.0628645034163524,Copernicus DEM GLO-30,flat
